City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
3,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
5,Faanui,PF,80.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
6,Hithadhoo,MV,82.22,broken clouds,-0.6,73.0833,Scoop Guest House
11,West Bay,KY,83.07,broken clouds,19.3667,-81.4167,Calypso Cove
13,Mana,GF,76.64,scattered clouds,5.6592,-53.7767,LE SAMANA
20,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Guerrero Negro,MX,82.27,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
24,Alugan,PH,78.06,overcast clouds,12.2188,125.4808,JM Lodge
25,Tarakan,ID,76.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
26,Kirakira,SB,80.4,overcast clouds,-10.4544,161.9205,SanBiz Lodge
35,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
42,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
43,Rikitea,PF,78.51,light rain,-23.1203,-134.9692,People ThankYou
45,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
46,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
49,El Alto,PE,82.06,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
51,Linares,CL,84.09,few clouds,-35.85,-71.6,Hotel Real
55,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
63,Bengkulu,ID,75.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
69,Butaritari,KI,81.55,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Salinopolis,BR,78.21,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
80,Hilo,US,76.73,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
81,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
83,Kampot,KH,76.62,few clouds,10.6167,104.1833,Two Moons Hotel
84,Yenagoa,NG,80.33,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
85,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
