City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,57.47,62,26,2.35,scattered clouds
1,Severo-Kurilsk,RU,50.6789,156.125,23.16,68,26,11.92,scattered clouds
2,Bathsheba,BB,13.2167,-59.5167,79.41,65,75,19.57,broken clouds
3,Souillac,MU,-20.5167,57.5167,81.36,89,75,11.5,broken clouds
4,Tombouctou,ML,20.0,-3.0,61.83,20,16,11.63,few clouds
5,Faanui,PF,-16.4833,-151.75,80.76,74,100,14.63,light rain
6,Hithadhoo,MV,-0.6,73.0833,82.22,72,83,11.03,broken clouds
7,Ushuaia,AR,-54.8,-68.3,38.86,87,100,27.63,moderate rain
8,Hermanus,ZA,-34.4187,19.2345,65.8,83,58,18.05,broken clouds
9,Dikson,RU,73.5069,80.5464,-4.67,87,100,24.74,overcast clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,75,8.05,broken clouds
11,West Bay,KY,19.3667,-81.4167,83.07,71,75,2.3,broken clouds
12,Yellowknife,CA,62.456,-114.3525,-9.58,62,20,4.61,few clouds
13,Mana,GF,5.6592,-53.7767,76.64,89,31,9.26,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,48.31,49,20,34.52,few clouds
15,Albany,US,42.6001,-73.9662,25.18,53,100,8.37,overcast clouds
16,Kaitangata,NZ,-46.2817,169.8464,59.94,68,8,0.2,clear sky
17,Mar Del Plata,AR,-38.0023,-57.5575,69.82,63,0,9.22,clear sky
18,Svetlyy,RU,54.675,20.1347,35.65,73,100,16.8,overcast clouds
19,Fairbanks,US,64.8378,-147.7164,14.81,82,100,4.61,light snow
20,Kapaa,US,22.0752,-159.319,79.12,64,75,14.97,broken clouds
21,Okhotsk,RU,59.3833,143.3,-14.66,79,1,11.45,clear sky
22,New Norfolk,AU,-42.7826,147.0587,62.1,71,94,2.37,overcast clouds
23,Guerrero Negro,MX,27.9769,-114.0611,82.27,18,15,6.87,few clouds
24,Alugan,PH,12.2188,125.4808,78.06,81,100,9.48,overcast clouds
25,Tarakan,ID,3.3,117.6333,76.5,94,75,0.0,broken clouds
26,Kirakira,SB,-10.4544,161.9205,80.4,85,99,10.69,overcast clouds
27,Flin Flon,CA,54.7682,-101.865,8.44,66,20,10.36,few clouds
28,East London,ZA,-33.0153,27.9116,72.91,83,83,10.13,broken clouds
29,Nikolskoye,RU,59.7035,30.7861,33.71,89,100,12.71,overcast clouds
30,Port Hardy,CA,50.6996,-127.4199,50.76,62,100,8.05,overcast clouds
31,Tiksi,RU,71.6872,128.8694,-12.62,93,10,11.86,clear sky
32,Ponta Do Sol,PT,32.6667,-17.1,64.06,57,97,2.48,overcast clouds
33,Luderitz,NA,-26.6481,15.1594,74.28,63,0,11.63,clear sky
34,Port Elizabeth,ZA,-33.918,25.5701,68.29,83,20,11.5,few clouds
35,Belmonte,BR,-15.8631,-38.8828,79.3,87,100,7.0,overcast clouds
36,Puri,IN,19.8,85.85,59.52,58,26,6.33,scattered clouds
37,Acatlan,MX,20.15,-98.45,43.03,91,97,6.55,overcast clouds
38,Port Blair,IN,11.6667,92.75,73.44,73,20,2.3,mist
39,Airai,TL,-8.9266,125.4092,58.37,90,37,2.3,scattered clouds
40,Chuy,UY,-33.6971,-53.4616,66.72,50,1,10.09,clear sky
41,Iqaluit,CA,63.7506,-68.5145,-16.31,75,100,3.44,light snow
42,Avarua,CK,-21.2078,-159.775,78.85,83,75,2.3,light rain
